bucket_start_ns,count
0,0
100,22
200,1787
300,14651
400,6646
500,2947
600,11020
700,13125
800,9349
900,7769
1000,7396
1100,8524
1200,9346
1300,9434
1400,9323
1500,8905
1600,8739
1700,8491
1800,8543
1900,8146
2000,8340
2100,8307
2200,8439
2300,8312
2400,8454
2500,8336
2600,8517
2700,8402
2800,8471
2900,8706
3000,8740
3100,8704
3200,8833
3300,8689
3400,8769
3500,8899
3600,8764
3700,8952
3800,8604
3900,8892
4000,8702
4100,8895
4200,8828
4300,8795
4400,8676
4500,8846
4600,8787
4700,8761
4800,8732
4900,8659
5000,8857
5100,8720
5200,8682
5300,8890
5400,8756
5500,8739
5600,8706
5700,8743
5800,8853
5900,8705
6000,8680
6100,8882
6200,8686
6300,8781
6400,8774
6500,8701
6600,8849
6700,8898
6800,8924
6900,8559
7000,8712
7100,8731
7200,8710
7300,8874
7400,8607
7500,8632
7600,8691
7700,8592
7800,8889
7900,8876
8000,8781
8100,8645
8200,8772
8300,8787
8400,8759
8500,8602
8600,8790
8700,8774
8800,8917
8900,8872
9000,8710
9100,8810
9200,8777
9300,8694
9400,8704
9500,8704
9600,8873
9700,8781
9800,8715
9900,8894
10000,8730
10100,8824
10200,8704
10300,8736
10400,8744
10500,8691
10600,8661
10700,8904
10800,8688
10900,8670
11000,8843
11100,8671
11200,8845
11300,8865
11400,8726
11500,8689
11600,8723
11700,8678
11800,8580
11900,8881
12000,8882
12100,8645
12200,8796
12300,8715
12400,8896
12500,8771
12600,8755
12700,8680
12800,8784
12900,8754
13000,8785
13100,8739
13200,8728
13300,8847
13400,8860
13500,8819
13600,8756
13700,8765
13800,8697
13900,8709
14000,8668
14100,8538
14200,8743
14300,8728
14400,8853
14500,8680
14600,8686
14700,8657
14800,8647
14900,8841
15000,8732
15100,8640
15200,8692
15300,8593
15400,8759
15500,8736
15600,8690
15700,8922
15800,8586
15900,8682
16000,8799
16100,8980
16200,8634
16300,8661
16400,8688
16500,8775
16600,8833
16700,8728
16800,8758
16900,8693
17000,8522
17100,8697
17200,8664
17300,8641
17400,8532
17500,8630
17600,8676
17700,8570
17800,8795
17900,8716
18000,8902
18100,8810
18200,8757
18300,8710
18400,8827
18500,8790
18600,8806
18700,8589
18800,8713
18900,8677
19000,8847
19100,8804
19200,8605
19300,8716
19400,8631
19500,8804
19600,8605
19700,8703
19800,8826
19900,8813
20000,8851
20100,8824
20200,8782
20300,8815
20400,8953
20500,8795
20600,8838
20700,8741
20800,8797
20900,8726
21000,8645
21100,8744
21200,8904
21300,8655
21400,8639
21500,8839
21600,8824
21700,8670
21800,8809
21900,8613
22000,8754
22100,8709
22200,8916
22300,8695
22400,8659
22500,8556
22600,8683
22700,8678
22800,8701
22900,8780
23000,8870
23100,8647
23200,8786
23300,8739
23400,8671
23500,8726
23600,8671
23700,8789
23800,8752
23900,8789
24000,8626
24100,8635
24200,8881
24300,8790
24400,8834
24500,8821
24600,8783
24700,8719
24800,8939
24900,8713
25000,8847
25100,8799
25200,8696
25300,8760
25400,8959
25500,8960
25600,8960
25700,8788
25800,8682
25900,8501
26000,8686
26100,8904
26200,8884
26300,8945
26400,8873
26500,8662
26600,8877
26700,8940
26800,8785
26900,8579
27000,8903
27100,8869
27200,8549
27300,8711
27400,8793
27500,8766
27600,8638
27700,8922
27800,8668
27900,8858
28000,8746
28100,8759
28200,8606
28300,8829
28400,8846
28500,8629
28600,8845
28700,8580
28800,8696
28900,8775
29000,8810
29100,8599
29200,8870
29300,8663
29400,8807
29500,8834
29600,8784
29700,8771
29800,8813
29900,8833
30000,8800
30100,8937
30200,8673
30300,8576
30400,8820
30500,8618
30600,8856
30700,8656
30800,8826
30900,8803
31000,8923
31100,8809
31200,8805
31300,8730
31400,8656
31500,8622
31600,8631
31700,8711
31800,8730
31900,8633
32000,8878
32100,8810
32200,8645
32300,8838
32400,8879
32500,8772
32600,8804
32700,9056
32800,8933
32900,8626
33000,8797
33100,8891
33200,8851
33300,8833
33400,8854
33500,8822
33600,8739
33700,8560
33800,8842
33900,8932
34000,8933
34100,8819
34200,8765
34300,8764
34400,8760
34500,8656
34600,8768
34700,8841
34800,8610
34900,8835
35000,8802
35100,8731
35200,8722
35300,8741
35400,8578
35500,8877
35600,8868
35700,8674
35800,8779
35900,8669
36000,8814
36100,8919
36200,8837
36300,8687
36400,8782
36500,8797
36600,8811
36700,8848
36800,8836
36900,8724
37000,8797
37100,8734
37200,8823
37300,8794
37400,8730
37500,8743
37600,8719
37700,8755
37800,8663
37900,8682
38000,8826
38100,8673
38200,8782
38300,8716
38400,8782
38500,8745
38600,8759
38700,9000
38800,8916
38900,8582
39000,8910
39100,8810
39200,8781
39300,8671
39400,8931
39500,8909
39600,8583
39700,8722
39800,8831
39900,8867
40000,8883
40100,8700
40200,8819
40300,8843
40400,8744
40500,8892
40600,8812
40700,8742
40800,8870
40900,8718
41000,8715
41100,8883
41200,8800
41300,8875
41400,8779
41500,8748
41600,8789
41700,8770
41800,8870
41900,8820
42000,8633
42100,8824
42200,8848
42300,8777
42400,8808
42500,8715
42600,8800
42700,8726
42800,8799
42900,8799
43000,8838
43100,8731
43200,8803
43300,8807
43400,8823
43500,8769
43600,8607
43700,8759
43800,8731
43900,8900
44000,8750
44100,8652
44200,8770
44300,8826
44400,8800
44500,8649
44600,8715
44700,8727
44800,8775
44900,8941
45000,8845
45100,8759
45200,8809
45300,8828
45400,8747
45500,8812
45600,8693
45700,8668
45800,8715
45900,8689
46000,8789
46100,8787
46200,8666
46300,8788
46400,8956
46500,8965
46600,8678
46700,8641
46800,8659
46900,8815
47000,8848
47100,8850
47200,8772
47300,8784
47400,8845
47500,8785
47600,8863
47700,8758
47800,8681
47900,8862
48000,8791
48100,8826
48200,8678
48300,8854
48400,8742
48500,8746
48600,8941
48700,8622
48800,8872
48900,8695
49000,8698
49100,8913
49200,8663
49300,8880
49400,8842
49500,8818
49600,8981
49700,8740
49800,8706
49900,8733
50000,8837
50100,8953
50200,8634
50300,8774
50400,8672
50500,8846
50600,8931
50700,8853
50800,8727
50900,8574
51000,8645
51100,8961
51200,8730
51300,8779
51400,8704
51500,8706
51600,8829
51700,8831
51800,8915
51900,8801
52000,8753
52100,8699
52200,8814
52300,8830
52400,8660
52500,8640
52600,8838
52700,8732
52800,8663
52900,8823
53000,8682
53100,8631
53200,8849
53300,8554
53400,8636
53500,8876
53600,8923
53700,8707
53800,8687
53900,8621
54000,8914
54100,8771
54200,8744
54300,8702
54400,8906
54500,8874
54600,8828
54700,8656
54800,8810
54900,8812
55000,8744
55100,8875
55200,8719
55300,8736
55400,8710
55500,8676
55600,8738
55700,9030
55800,8703
55900,8714
56000,8822
56100,8931
56200,8694
56300,8863
56400,8968
56500,8824
56600,8835
56700,8727
56800,8807
56900,8787
57000,8781
57100,8941
57200,8698
57300,8782
57400,8910
57500,8748
57600,8864
57700,8720
57800,8975
57900,8603
58000,8825
58100,8887
58200,8639
58300,8804
58400,8693
58500,8813
58600,8826
58700,8728
58800,8799
58900,8825
59000,8681
59100,8739
59200,8754
59300,8861
59400,8545
59500,8781
59600,8661
59700,8862
59800,8891
59900,8728
60000,8895
60100,8684
60200,8712
60300,8679
60400,8766
60500,8749
60600,9069
60700,8723
60800,8830
60900,8771
61000,8838
61100,8743
61200,8677
61300,8732
61400,8796
61500,8861
61600,8824
61700,8820
61800,9018
61900,8866
62000,8807
62100,8811
62200,8799
62300,8890
62400,8750
62500,8753
62600,8745
62700,8885
62800,8910
62900,8808
63000,8763
63100,8784
63200,8819
63300,8777
63400,8776
63500,8791
63600,8880
63700,8798
63800,8918
63900,8654
64000,8697
64100,8924
64200,8756
64300,8603
64400,8847
64500,8824
64600,8745
64700,8730
64800,8872
64900,8729
65000,8757
65100,8719
65200,8841
65300,8832
65400,8670
65500,8924
65600,8758
65700,8805
65800,8718
65900,8866
66000,8702
66100,8803
66200,8745
66300,8891
66400,8863
66500,8775
66600,8834
66700,8816
66800,8701
66900,8865
67000,8858
67100,8815
67200,8850
67300,8699
67400,8827
67500,8720
67600,8917
67700,8753
67800,8881
67900,8949
68000,8672
68100,8802
68200,8804
68300,8964
68400,8809
68500,8764
68600,8901
68700,8800
68800,8768
68900,8899
69000,8777
69100,8821
69200,8834
69300,8781
69400,8786
69500,8864
69600,8680
69700,8859
69800,8906
69900,8750
70000,8756
70100,8679
70200,8851
70300,8737
70400,8797
70500,8839
70600,8631
70700,9010
70800,8677
70900,8682
71000,8926
71100,8836
71200,8815
71300,8818
71400,8761
71500,8759
71600,8785
71700,8896
71800,8860
71900,8975
72000,8832
72100,8749
72200,8614
72300,8857
72400,8867
72500,8846
72600,8840
72700,8833
72800,8855
72900,8734
73000,8951
73100,8978
73200,8851
73300,8870
73400,8777
73500,8761
73600,8762
73700,8806
73800,8999
73900,8772
74000,8969
74100,8856
74200,8761
74300,8748
74400,8805
74500,8908
74600,8777
74700,8770
74800,8632
74900,8877
75000,9009
75100,8953
75200,8816
75300,8911
75400,8904
75500,8981
75600,8785
75700,8653
75800,8941
75900,8898
76000,8795
76100,8781
76200,8754
76300,8842
76400,8902
76500,8757
76600,8723
76700,8990
76800,8980
76900,8791
77000,8893
77100,8964
77200,8924
77300,8932
77400,8689
77500,8749
77600,8677
77700,8816
77800,8974
77900,8848
78000,8844
78100,8740
78200,8910
78300,8788
78400,8837
78500,8881
78600,8760
78700,8848
78800,8834
78900,8910
79000,8717
79100,8813
79200,8684
79300,8785
79400,8787
79500,8816
79600,8994
79700,8833
79800,8882
79900,8737
80000,8921
80100,8930
80200,8872
80300,8839
80400,8843
80500,8947
80600,8803
80700,8707
80800,8857
80900,8750
81000,8775
81100,8988
81200,8996
81300,8862
81400,8776
81500,8746
81600,8879
81700,8945
81800,8884
81900,9055
82000,8777
82100,8921
82200,8736
82300,8730
82400,8881
82500,8775
82600,9058
82700,8851
82800,8750
82900,8783
83000,9006
83100,9027
83200,8832
83300,8828
83400,8841
83500,8799
83600,9035
83700,8881
83800,8918
83900,8858
84000,8795
84100,8797
84200,8929
84300,8877
84400,8878
84500,8830
84600,8879
84700,8827
84800,8810
84900,8919
85000,8801
85100,8936
85200,8799
85300,8765
85400,8789
85500,8751
85600,8831
85700,8916
85800,8740
85900,8819
86000,9044
86100,8811
86200,8942
86300,8865
86400,8821
86500,8794
86600,8857
86700,9163
86800,8878
86900,8933
87000,8965
87100,8935
87200,8842
87300,8849
87400,8783
87500,8995
87600,8709
87700,8749
87800,8909
87900,8989
88000,8858
88100,8756
88200,8881
88300,8916
88400,9116
88500,8912
88600,8872
88700,8757
88800,8697
88900,8811
89000,8992
89100,8945
89200,8847
89300,8852
89400,9037
89500,8906
89600,8930
89700,8885
89800,8979
89900,8839
90000,8823
90100,8893
90200,8990
90300,8740
90400,8913
90500,8881
90600,8723
90700,8885
90800,8913
90900,8907
91000,8884
91100,8889
91200,8826
91300,8895
91400,8817
91500,8900
91600,9035
91700,8903
91800,8945
91900,8997
92000,8813
92100,8901
92200,8748
92300,8819
92400,8961
92500,8793
92600,8914
92700,8927
92800,8936
92900,8761
93000,8829
93100,8917
93200,9013
93300,8747
93400,8861
93500,9020
93600,8944
93700,8785
93800,8990
93900,8862
94000,8852
94100,8896
94200,8882
94300,8851
94400,8822
94500,8819
94600,8891
94700,8700
94800,8757
94900,8863
95000,8789
95100,8847
95200,8832
95300,8733
95400,8879
95500,8719
95600,8844
95700,8864
95800,9030
95900,8762
96000,8905
96100,8910
96200,8870
96300,8815
96400,8828
96500,8870
96600,8936
96700,8824
96800,9013
96900,8808
97000,8918
97100,8911
97200,9022
97300,8967
97400,8968
97500,8943
97600,8892
97700,8905
97800,8759
97900,8683
98000,8823
98100,8786
98200,8846
98300,8772
98400,8773
98500,8782
98600,8873
98700,8923
98800,8771
98900,8959
99000,8871
99100,8926
99200,8844
99300,8883
99400,8834
99500,8763
99600,8843
99700,8946
99800,8978
99900,8843
100000,8974
100100,8874
100200,8880
100300,8921
100400,8848
100500,8649
100600,8754
100700,8811
100800,8986
100900,9049
101000,8914
101100,9003
101200,8904
101300,9006
101400,8792
101500,8874
101600,8890
101700,8960
101800,8949
101900,8756
102000,8982
102100,8985
102200,8768
102300,8922
102400,8934
102500,8937
102600,8879
102700,8884
102800,8740
102900,9005
103000,8912
103100,8955
103200,8864
103300,8887
103400,8965
103500,8995
103600,8978
103700,8911
103800,9043
103900,8930
104000,8946
104100,8889
104200,8898
104300,8891
104400,8848
104500,8883
104600,8807
104700,8791
104800,8802
104900,8971
105000,8819
105100,8999
105200,8813
105300,8806
105400,8930
105500,9081
105600,8618
105700,8870
105800,8774
105900,8793
106000,9082
106100,8817
106200,9010
106300,8855
106400,8940
106500,8980
106600,8805
106700,8856
106800,8986
106900,8899
107000,8762
107100,8895
107200,8840
107300,8912
107400,8795
107500,8889
107600,9050
107700,8925
107800,8818
107900,8943
108000,8824
108100,8787
108200,8930
108300,8897
108400,8838
108500,8808
108600,8964
108700,8786
108800,9012
108900,9106
109000,8760
109100,8827
109200,8867
109300,8877
109400,8837
109500,8910
109600,8910
109700,8938
109800,8804
109900,8935
110000,9065
110100,8797
110200,8859
110300,8772
110400,8713
110500,8836
110600,8836
110700,8910
110800,8842
110900,8944
111000,8831
111100,8896
111200,8941
111300,9008
111400,8812
111500,8917
111600,8758
111700,8875
111800,8865
111900,8800
112000,8899
112100,8921
112200,8762
112300,8917
112400,8732
112500,8940
112600,9063
112700,8812
112800,8857
112900,8736
113000,8919
113100,8899
113200,8930
113300,8954
113400,8974
113500,8919
113600,8944
113700,8742
113800,8882
113900,8930
114000,8830
114100,8740
114200,9197
114300,8912
114400,8837
114500,8905
114600,8936
114700,8849
114800,8904
114900,8911
115000,8809
115100,8858
115200,8772
115300,8996
115400,8885
115500,8962
115600,9105
115700,9012
115800,8965
115900,8682
116000,8909
116100,8943
116200,8836
116300,8997
116400,8994
116500,8862
116600,8961
116700,8694
116800,8804
116900,8714
117000,9041
117100,8912
117200,8788
117300,8857
117400,8885
117500,8982
117600,8823
117700,8695
117800,8877
117900,8921
118000,8937
118100,8779
118200,8835
118300,8762
118400,8920
118500,8842
118600,8916
118700,8816
118800,8856
118900,8909
119000,8948
119100,8907
119200,8863
119300,8724
119400,8775
119500,8971
119600,8785
119700,8934
119800,8948
119900,8740
120000,8950
120100,8594
120200,8871
120300,8892
120400,8949
120500,8717
120600,8868
120700,8848
120800,8879
120900,8884
121000,9117
121100,8960
121200,8958
121300,8884
121400,8647
121500,8922
121600,8882
121700,8876
121800,8973
121900,8900
122000,8875
122100,8652
122200,8861
122300,8901
122400,9083
122500,8813
122600,8700
122700,8855
122800,8767
122900,8965
123000,9056
123100,8937
123200,8783
123300,9022
123400,9009
123500,8938
123600,8924
123700,8840
123800,9010
123900,8834
124000,8813
124100,8727
124200,8786
124300,8810
124400,9021
124500,8653
124600,8821
124700,8737
