Time,Total_Candles,Gaps,Win_Feed_P50,Win_Feed_P99,Win_Feed_P999,Win_Feed_Max,Win_Int_P50,Win_Int_P99,Win_Int_P999,Win_Int_Max,Win_Aud_P50,Win_Aud_P99,Win_Aud_P999,Win_Aud_Max,Glb_Feed_P50,Glb_Feed_P99,Glb_Feed_P999,Glb_Feed_Max,Glb_Int_P50,Glb_Int_P99,Glb_Int_P999,Glb_Int_Max,Glb_Aud_P50,Glb_Aud_P99,Glb_Aud_P999,Glb_Aud_Max
2026-01-25 07:35:32,88207,0,8.42162e+06,1.58795e+08,1.60718e+08,2.0484e+08,21184,58451,109384,393121,137542,332658,464821,1.52269e+06,8.421e+06,1.587e+08,1.607e+08,2.0484e+08,21100,58400,109300,393121,137500,332600,464800,1.52269e+06
2026-01-25 07:45:32,162006,0,9.36285e+06,1.58738e+08,1.60241e+08,2.03716e+08,21811,57237,106298,430844,154570,349429,468405,7.78682e+06,8.761e+06,1.587e+08,1.605e+08,2.0484e+08,21400,57900,108700,430844,144900,343000,466800,7.78682e+06
2026-01-25 07:55:32,247202,0,8.44973e+06,1.58678e+08,1.6005e+08,1.92801e+08,21286,58864,111928,2.3106e+06,155009,350884,492370,5.18459e+06,8.645e+06,1.587e+08,1.603e+08,2.0484e+08,21400,58300,109700,2.3106e+06,148100,345900,476500,7.78682e+06
2026-01-25 08:05:32,338965,0,9.253e+06,1.59075e+08,1.79629e+08,3.71314e+08,21372,63777,121424,368985,159836,365400,529333,1.93284e+07,8.802e+06,1.588e+08,1.608e+08,3.71314e+08,21400,59700,113300,2.3106e+06,151000,351900,497400,1.93284e+07
2026-01-25 08:15:32,407970,0,1.02067e+07,1.58687e+08,1.60134e+08,2.01492e+08,21791,59281,114553,757624,162649,366614,495225,3.49873e+06,8.936e+06,1.588e+08,1.606e+08,3.71314e+08,21400,59600,113700,2.3106e+06,152900,355500,496900,1.93284e+07
2026-01-25 08:25:32,481023,0,9.54718e+06,1.58769e+08,1.6e+08,2.03402e+08,21416,58420,104237,294001,168628,377256,522668,1.67129e+07,9.001e+06,1.587e+08,1.605e+08,3.71314e+08,21400,59400,112400,2.3106e+06,155000,360500,502800,1.93284e+07
2026-01-25 08:35:32,559823,0,8.64146e+06,1.58758e+08,1.60427e+08,1.94141e+08,21291,59494,112903,366770,172178,376979,513379,2.23454e+06,8.948e+06,1.587e+08,1.605e+08,3.71314e+08,21400,59400,112400,2.3106e+06,157300,363400,504200,1.93284e+07
2026-01-25 08:45:32,655466,0,1.19259e+07,1.59862e+08,1.63989e+08,2.00063e+08,20490,62021,113854,302754,168896,375731,511600,2.26228e+07,9.284e+06,1.59e+08,1.61e+08,3.71314e+08,21200,59800,112400,2.3106e+06,158800,365800,505100,2.26228e+07
2026-01-25 08:55:32,746888,0,9.27241e+06,1.59355e+08,1.60829e+08,1.79755e+08,21134,63891,128160,2.62602e+06,168313,382646,615164,5.46112e+06,9.282e+06,1.59e+08,1.609e+08,3.71314e+08,21200,60400,114500,2.62602e+06,159900,368200,513800,2.26228e+07
2026-01-25 09:05:32,834889,0,1.05138e+07,1.59256e+08,1.60708e+08,1.76042e+08,21333,62964,118808,464852,174759,387022,590416,2.37507e+07,9.383e+06,1.591e+08,1.609e+08,3.71314e+08,21200,60700,115400,2.62602e+06,161300,370800,520100,2.37507e+07
